Date,City,AQI,PM2.5,PM10,Ozone,NO2,CO,SO2,Temperature,Humidity
2024-10-16,Los Angeles,128,28.78,68.84,58.29,57.56,2.781,17.1,3.4,82.2
2023-01-26,Jacksonville,111,28.73,61.93,59.0,35.73,1.81,16.33,17.0,36.0
2023-10-09,Houston,91,20.04,47.1,66.2,43.91,2.566,15.27,1.0,68.6
2023-08-17,Chicago,108,23.39,47.9,62.85,48.89,2.332,18.49,9.4,85.7
2023-04-15,Austin,106,26.51,56.08,62.38,,1.867,15.93,17.3,48.7
2024-07-12,Los Angeles,132,27.46,75.3,65.83,49.39,2.645,26.5,15.0,61.8
2024-08-27,San Antonio,94,21.58,51.07,52.83,44.5,1.715,20.7,1.0,77.6
2023-02-02,New York,142,32.01,68.79,80.02,49.34,2.138,13.24,27.9,59.3
2023-04-06,Houston,176,35.64,70.72,127.53,,2.538,17.39,43.3,23.9
2023-08-27,Dallas,80,21.36,48.06,65.93,36.57,2.327,21.43,-1.7,77.9
2024-09-08,New York,108,23.64,56.08,54.74,42.44,2.596,16.91,-0.0,75.0
2024-07-28,Houston,112,28.6,67.83,70.55,51.39,3.736,21.14,4.2,84.2
2024-10-27,Jacksonville,91,19.6,38.86,48.08,29.89,2.18,9.98,-5.9,91.0
2024-07-12,San Antonio,110,24.78,61.3,54.64,42.44,1.957,20.12,16.8,63.4
2023-08-14,San Diego,109,25.56,48.96,38.55,27.01,1.24,6.48,13.3,59.8
2024-08-26,Phoenix,114,25.71,57.59,58.66,48.25,2.209,18.08,6.4,78.7
2023-01-07,Fort Worth,114,29.26,57.22,76.16,37.43,,15.56,23.7,56.4
2023-06-13,Jacksonville,108,26.24,,74.1,45.77,1.657,14.01,24.9,43.1
2024-03-08,Philadelphia,137,34.62,73.13,89.5,39.89,2.255,16.96,29.6,14.1
2023-10-12,Chicago,118,28.02,55.34,51.49,48.89,2.504,16.44,7.5,64.9
2023-08-09,Fort Worth,92,27.79,53.94,72.34,40.39,2.135,18.77,6.3,95.2
2023-12-11,Los Angeles,141,34.33,76.98,80.65,53.91,3.167,24.31,11.8,73.8
2023-04-05,San Antonio,130,29.29,73.18,86.53,38.34,2.56,14.46,30.5,34.0
2023-04-10,Philadelphia,130,29.74,64.33,98.72,36.63,2.499,10.64,36.5,39.8
2023-12-19,San Jose,65,15.98,37.67,52.32,36.81,2.041,11.13,15.5,61.2
2023-09-28,Fort Worth,76,16.54,34.66,55.57,47.31,1.94,21.15,-0.6,89.4
2023-02-14,Jacksonville,116,28.54,57.37,64.34,42.0,1.667,16.09,21.3,44.4
2024-04-15,Dallas,139,36.07,75.92,102.64,36.34,2.544,14.38,28.9,56.8
2023-05-08,Charlotte,117,26.7,65.08,70.0,42.91,2.243,7.81,24.6,13.8
2024-01-23,Los Angeles,149,35.28,72.09,75.96,54.32,3.198,17.23,18.4,35.1
2024-07-19,Phoenix,145,33.85,68.98,61.79,48.91,2.405,,11.7,73.4
2024-10-05,San Jose,75,19.86,39.6,54.26,39.26,1.701,14.4,-3.8,75.9
2024-01-06,San Jose,103,24.49,52.49,62.78,39.12,2.314,18.1,11.6,74.8
2023-07-16,Jacksonville,101,21.26,59.11,70.96,33.06,2.057,19.47,24.4,60.5
2023-03-13,New York,116,28.28,68.73,66.46,37.36,2.09,18.05,28.5,44.2
2024-11-08,Houston,93,25.45,59.31,63.37,48.01,,22.22,6.0,72.7
2023-10-24,Los Angeles,117,28.89,62.75,58.49,47.4,3.032,15.63,-5.2,77.7
2023-08-27,Columbus,74,20.47,42.53,54.41,48.09,1.873,9.56,1.4,86.6
2023-04-14,San Antonio,92,23.49,60.01,64.47,49.63,2.007,17.65,26.6,48.2
2023-10-12,San Diego,82,20.69,52.4,53.74,38.1,1.539,9.91,0.6,69.4
2024-10-12,Columbus,85,18.91,49.05,45.14,43.76,2.105,9.75,3.6,70.4
2024-01-09,Chicago,134,29.17,53.39,61.36,39.04,2.705,18.04,15.0,76.8
2024-01-15,Philadelphia,108,,56.52,70.58,47.04,,14.81,23.7,45.2
2023-08-03,Austin,115,25.65,49.85,52.76,42.91,2.179,20.06,9.1,62.4
2023-10-01,Jacksonville,85,15.08,28.81,58.35,31.98,1.849,14.79,2.6,69.6
2024-11-30,Austin,80,19.92,42.32,50.01,36.17,1.844,8.45,15.6,54.0
2023-03-15,San Jose,126,25.08,57.14,87.64,38.35,1.792,11.68,30.4,31.2
2024-10-12,Chicago,97,24.81,54.7,57.89,49.09,2.468,18.63,-5.6,75.2
2024-06-30,Jacksonville,111,26.5,52.38,55.92,44.98,1.815,16.42,17.6,62.5
2023-09-08,Chicago,101,23.91,48.55,57.14,43.64,2.201,12.54,4.0,81.4
2024-04-18,San Antonio,143,30.97,68.24,82.77,44.01,2.596,15.77,35.1,43.0
2023-10-04,Charlotte,96,22.01,50.33,56.54,34.91,1.681,10.88,3.6,75.9
2024-10-17,Jacksonville,77,19.65,46.35,44.34,37.78,1.515,14.58,-2.7,94.6
2024-07-24,Houston,,28.7,62.28,60.15,50.29,2.828,17.72,9.0,67.5
2024-12-02,Philadelphia,146,28.22,59.52,66.08,40.32,2.153,12.95,11.4,66.3
2023-02-27,Houston,155,35.89,74.99,89.58,51.78,3.029,,26.9,27.3
2023-02-02,Fort Worth,113,25.14,61.13,87.98,43.3,1.895,18.18,31.8,23.8
2023-11-20,San Antonio,96,23.07,42.52,60.81,45.38,2.162,8.53,10.4,53.3
2023-10-02,Los Angeles,96,22.81,46.62,64.64,51.84,,17.21,6.0,90.2
2023-08-05,Charlotte,105,24.84,48.65,54.29,31.29,1.873,22.4,0.9,76.0
2024-08-03,Charlotte,123,30.24,65.36,58.08,34.35,1.684,15.83,1.8,78.6
2023-11-19,Houston,110,29.96,52.66,50.43,57.46,2.608,15.45,11.8,79.3
2024-11-02,San Diego,75,17.2,38.32,42.47,34.34,1.298,16.04,0.0,71.0
2024-02-10,Charlotte,134,29.06,61.73,65.14,30.36,2.344,10.39,26.6,38.3
2024-10-20,San Diego,,18.24,43.12,50.41,40.91,1.61,11.69,1.4,88.6
2023-05-27,Phoenix,128,29.25,68.27,61.24,52.47,2.422,12.82,21.0,62.1
2023-05-23,Houston,127,32.08,64.71,66.36,52.42,2.411,,24.0,46.5
2024-07-28,Dallas,97,25.62,54.55,63.51,42.51,2.302,12.64,6.8,66.3
2023-09-27,Jacksonville,97,22.32,51.05,47.86,41.0,1.824,12.85,3.3,76.1
2024-08-21,San Antonio,90,19.74,38.98,53.45,49.13,,14.03,6.5,
2024-08-20,San Antonio,89,23.08,40.1,53.56,35.31,2.316,10.78,7.1,72.5
2024-01-06,Houston,130,31.88,62.05,61.18,47.84,2.999,21.68,11.2,65.2
2023-05-22,Dallas,126,27.3,64.82,68.64,42.02,2.789,19.37,22.8,39.3
2024-05-20,Los Angeles,147,37.35,86.24,79.48,54.21,2.807,19.09,23.4,52.5
2023-02-18,Columbus,106,23.83,44.11,67.24,46.85,1.748,13.02,26.5,51.1
2023-04-23,Chicago,133,30.68,64.42,94.76,44.72,2.031,18.65,33.0,25.3
2024-10-04,Chicago,105,26.03,58.27,66.44,45.06,,15.75,-4.1,81.8
2024-11-27,San Antonio,108,23.69,46.72,44.69,36.34,2.229,17.34,9.5,78.5
2024-09-02,Los Angeles,113,30.23,58.86,64.34,55.37,,25.59,1.6,94.0
2024-01-30,San Antonio,119,30.67,64.58,74.07,45.37,1.773,15.88,22.5,
2024-09-02,San Diego,104,24.83,41.12,39.8,35.07,1.8,15.29,-4.1,89.6
2024-06-25,Phoenix,,30.14,65.22,58.07,46.12,2.491,,12.5,80.9
2024-07-20,Columbus,77,20.57,39.83,55.57,44.45,1.914,11.72,14.3,63.7
2023-01-12,Austin,102,24.82,52.29,53.31,35.64,1.878,11.65,19.3,37.8
2023-04-28,Austin,125,27.04,67.1,65.81,39.32,1.911,6.18,23.0,42.1
2024-07-03,Fort Worth,109,23.96,58.19,48.03,45.09,1.981,13.13,18.2,57.8
2023-10-01,Fort Worth,109,23.13,47.31,49.45,46.18,2.282,,2.6,94.0
2023-12-06,Jacksonville,96,24.16,,70.13,36.03,1.743,17.1,6.2,67.8
2024-10-18,Philadelphia,84,21.79,39.95,58.76,47.6,2.341,17.63,-2.6,79.1
2023-04-25,Phoenix,161,37.61,88.03,97.18,53.0,2.274,13.66,34.1,25.5
2024-03-21,Chicago,138,29.83,77.11,108.5,50.04,2.565,15.92,40.1,17.2
2023-07-23,Phoenix,121,26.73,60.65,58.6,53.21,2.305,16.18,9.6,64.5
2024-04-09,New York,129,29.83,74.46,87.33,51.17,2.6,12.75,32.2,29.5
2023-09-27,Dallas,106,27.11,64.92,68.23,45.67,2.296,17.28,8.0,81.2
2023-07-02,Dallas,113,27.5,52.63,68.46,46.55,2.322,9.28,15.7,79.4
2023-04-19,Columbus,116,27.56,62.59,81.21,39.49,2.107,12.51,27.9,34.7
2024-10-02,Phoenix,94,21.4,41.46,66.71,45.71,2.11,18.74,4.0,70.4
2024-10-16,Dallas,72,17.03,41.03,53.73,44.43,2.385,23.98,1.6,95.2
2024-09-15,Houston,106,27.09,64.05,53.91,42.05,2.117,17.75,1.2,91.9
2023-06-06,Philadelphia,119,29.17,70.11,49.95,46.81,2.821,16.36,21.0,
2023-06-15,Dallas,120,28.82,64.34,52.36,45.08,2.275,17.6,9.8,40.9
2024-06-27,Charlotte,84,21.85,57.56,56.47,43.67,1.629,12.18,17.1,62.6
2023-01-01,San Jose,105,22.38,43.72,64.86,38.81,2.088,,12.4,61.5
2023-11-28,San Diego,93,22.41,37.95,60.91,32.87,2.023,6.99,10.1,54.8
2023-01-20,Los Angeles,143,30.88,69.1,82.15,49.44,2.761,16.39,25.2,62.3
2024-01-07,Charlotte,108,28.11,54.73,65.63,38.4,2.111,11.98,19.9,52.5
2023-11-11,Houston,97,20.61,51.57,51.18,59.27,2.583,19.86,2.7,75.2
2023-03-01,Houston,171,34.93,78.19,102.16,46.73,2.412,13.37,33.6,35.3
2024-08-03,Los Angeles,131,30.81,65.63,66.45,49.73,2.679,21.79,12.6,74.0
2023-03-29,Jacksonville,106,24.01,52.4,83.17,43.21,2.352,9.51,27.1,25.6
2024-05-12,Columbus,97,25.05,58.62,75.54,38.86,1.754,12.93,24.4,42.8
2023-03-12,Fort Worth,114,30.93,57.1,93.26,49.85,1.899,16.64,28.7,34.8
2024-06-29,Fort Worth,118,28.43,51.27,60.76,41.08,2.18,11.19,15.6,51.3
2023-05-09,Chicago,119,29.07,69.55,67.48,42.87,2.63,18.06,23.9,46.6
2024-11-06,San Diego,77,17.74,37.21,48.29,28.83,1.663,12.44,9.1,80.3
2024-07-16,Chicago,100,27.39,63.04,76.04,48.18,2.449,14.22,21.3,58.2
2023-09-29,Dallas,78,20.26,41.75,37.38,51.33,2.67,17.35,0.9,71.3
2024-09-13,San Antonio,79,21.46,33.99,59.27,48.44,2.054,10.19,1.2,94.5
2023-08-05,Charlotte,96,23.43,47.53,52.2,45.11,2.457,13.25,6.9,81.6
2024-07-06,Fort Worth,121,28.34,55.05,55.6,38.16,2.569,14.98,5.4,70.0
2024-12-07,Houston,135,29.89,62.47,51.38,51.63,2.458,16.27,11.2,70.2
2023-11-16,San Antonio,85,19.57,42.04,69.32,39.54,2.08,11.94,10.5,80.4
2024-11-18,Austin,74,14.08,35.08,56.33,38.92,1.976,12.28,-3.5,70.4
2024-01-18,San Diego,115,27.32,58.18,75.44,42.09,1.709,10.72,18.0,35.8
2024-06-13,San Diego,88,21.7,42.42,66.43,35.31,1.721,14.67,23.2,64.1
2023-05-04,Houston,132,30.99,80.07,86.17,50.8,2.547,25.85,21.7,28.5
2023-08-19,Los Angeles,134,30.49,68.71,58.17,48.27,2.807,17.45,4.6,95.0
2023-12-13,New York,110,25.81,59.51,70.77,35.65,2.436,17.08,14.6,73.8
2024-08-25,Dallas,124,27.67,58.01,60.82,55.21,2.128,14.62,-0.5,78.2
2023-08-24,San Jose,91,22.37,53.31,70.91,44.29,2.151,10.78,6.8,74.9
2023-08-14,New York,103,25.01,60.34,65.68,39.43,2.265,13.3,3.9,82.3
2023-03-14,Jacksonville,127,19.82,45.47,92.69,35.59,1.921,16.98,38.3,19.6
2024-10-08,New York,100,24.21,58.16,283.97,,2.592,15.88,6.3,69.3
2023-08-23,Los Angeles,135,28.16,54.23,55.97,62.21,2.917,19.11,2.4,86.7
