"City","Mean_AQI","Median_AQI","SD_AQI","Observations"
"Los Angeles",135.921875,135,20.896965702883,384
"Houston",128.65,129,24.9633659165387,360
"Phoenix",125.014204545455,125,18.9086067755311,352
"Dallas",118.12324929972,118,23.4773723855864,357
"Chicago",117.83661971831,116,18.1586327498432,355
"Philadelphia",113.75208913649,112,18.1492059272827,359
"New York",113.220289855072,113,17.9668022328371,345
"Fort Worth",112.203804347826,111,21.2823060838104,368
"San Antonio",107.215223097113,108,17.4446758357926,381
"Charlotte",106.565340909091,108,17.6688836827826,352
"Columbus",106.010869565217,105,25.6249387064723,368
"Jacksonville",104.047120418848,101,27.8943992832125,382
"Austin",100.130319148936,100,15.6857994684536,376
"San Jose",98.8614130434783,99.5,26.5733231693911,368
"San Diego",94.1076923076923,95,17.0013969578064,390
